modelCode,validFrom,orderType,modelDescription,engineType,ccWatt,gstPercent,dealerMarginPercent,csdDiscountPercent,csdGstPercent,gemValue,status,approvalStatus
RE-HUNTER350,2026-01-01,MTS,Hunter 350,Petrol,349,28,6,10,5,150000,ACTIVE,APPROVED
RE-CLASSIC350,2026-01-01,MTS,Classic 350,Petrol,349,28,6,10,5,155000,ACTIVE,APPROVED
RE-BULLET350,2026-01-01,MTS,Bullet 350,Petrol,349,28,6,10,5,152000,ACTIVE,APPROVED
RE-METEOR350,2026-01-01,MTS,Meteor 350,Petrol,349,28,6,10,5,160000,ACTIVE,APPROVED
RE-GUERRILLA450,2026-01-01,MTS,Guerrilla 450,Petrol,452,28,7,10,5,185000,ACTIVE,APPROVED
RE-HIMALAYAN450,2026-01-01,MTS,Himalayan 450,Petrol,452,28,7,10,5,230000,ACTIVE,APPROVED
RE-INTERCEPTOR650,2026-01-01,MTS,Interceptor 650,Petrol,648,28,7,10,5,310000,ACTIVE,APPROVED
RE-CONTGT650,2026-01-01,MTS,Continental GT 650,Petrol,648,28,7,10,5,320000,ACTIVE,APPROVED
RE-SHOTGUN650,2026-01-01,MTS,Shotgun 650,Petrol,648,28,7,10,5,350000,ACTIVE,APPROVED
RE-SUPERMETEOR650,2026-01-01,MTS,Super Meteor 650,Petrol,648,28,7,10,5,340000,ACTIVE,APPROVED
RE-SCRAM411,2026-01-01,MTS,Scram 411,Petrol,411,28,6,10,5,210000,ACTIVE,APPROVED
RE-CLASSIC500,2026-01-01,MTS,Classic 500,Petrol,499,28,6,10,5,190000,ACTIVE,APPROVED
RE-BULLET500,2026-01-01,MTS,Bullet 500,Petrol,499,28,6,10,5,195000,ACTIVE,APPROVED
RE-THUNDERBIRD350,2026-01-01,MTS,Thunderbird 350,Petrol,346,28,6,10,5,145000,ACTIVE,APPROVED
RE-ELECTRA350,2026-01-01,MTS,Electra 350,Petrol,346,28,6,10,5,148000,ACTIVE,APPROVED
RE-TWIN650,2026-01-01,MTS,Twin 650,Petrol,648,28,7,10,5,305000,ACTIVE,APPROVED
RE-CLASSIC350RED,2026-01-01,MTS,Classic 350 Red,Petrol,349,28,6,10,5,158000,ACTIVE,APPROVED
RE-HUNTER350GREY,2026-01-01,MTS,Hunter 350 Grey,Petrol,349,28,6,10,5,153000,ACTIVE,APPROVED
RE-HUNTER350BLUE,2026-01-01,MTS,Hunter 350 Blue,Petrol,349,28,6,10,5,154000,ACTIVE,APPROVED
