partCode,validFrom,description,miyCost,miyMarkup,priceIndicator
PART-001,2026-01-01,LED Headlamp,4500.00,500.00,EXSHOWROOM
PART-002,2026-01-01,Windshield,3500.00,400.00,EXSHOWROOM
PART-003,2026-01-01,Crash Guard,2800.00,300.00,EXSHOWROOM
PART-004,2026-01-01,Engine Guard,3200.00,350.00,EXSHOWROOM
PART-005,2026-01-01,Side Pannier,7500.00,800.00,ONROAD
PART-006,2026-01-01,Top Box,6000.00,700.00,ONROAD
PART-007,2026-01-01,Passenger Backrest,2500.00,300.00,EXSHOWROOM
PART-008,2026-01-01,Premium Seat,4200.00,450.00,EXSHOWROOM
PART-009,2026-01-01,Handlebar Riser,1800.00,200.00,EXSHOWROOM
PART-010,2026-01-01,Aluminium Footrest,2200.00,250.00,EXSHOWROOM
PART-011,2026-01-01,Bar End Mirror,1600.00,200.00,EXSHOWROOM
PART-012,2026-01-01,USB Charger,1200.00,150.00,EXSHOWROOM
PART-013,2026-01-01,Mobile Holder,900.00,100.00,EXSHOWROOM
PART-014,2026-01-01,Auxiliary Light,3800.00,400.00,ONROAD
PART-015,2026-01-01,Rear Carrier,2900.00,300.00,ONROAD
PART-016,2026-01-01,Engine Sump Guard,2600.00,300.00,EXSHOWROOM
PART-017,2026-01-01,Touring Seat,4800.00,500.00,EXSHOWROOM
PART-018,2026-01-01,Soft Pannier,5500.00,600.00,ONROAD
PART-019,2026-01-01,Leg Guard,2400.00,250.00,EXSHOWROOM
PART-020,2026-01-01,Silencer Protector,1900.00,200.00,EXSHOWROOM
